input_name,total_occurrences
petid,67
_lp,67
depositid,67
trancheid,67
receivers,67
endindex,67
destinationaddress,67
_controller,67
receiver_,66
arg1,66
_token0,66
liquidator,66
_newfee,66
_isactive,66
subject,66
info,66
_round,65
_marketkey,65
source,65
interval,65
nodeindex,65
_stakingtoken,65
module,65
_refundaddress,65
supply,65
proxy,64
c,64
_destination,64
_tokenaddr,64
ordertype,64
_role,64
_gaslimit,63
value_,63
reserve,63
slippage,63
_ratio,63
_transactionid,63
questid,62
guardian,62
ilk,62
_claimer,62
ethamount,62
_member,62
hookdata,62
_totalsupply,62
_token1,62
owners,61
_offer,61
maker,61
resolver,61
_sig,61
assettoken,61
_cap,61
_multiplier,61
permitdata,61
fromamount,61
_paymenttoken,61
delegator,61
_reason,61
tokentype,61
indices,60
flags,60
_side,60
_strategist,60
newadmin,60
liquidityfee,60
targetaddress,60
_description,60
isactive,60
marketing,59
_order,59
wallets,59
erc721address,59
_lockduration,59
_integrator,59
subaccount,59
deadline_,59
nodeoperatorid,59
accountaddress,59
_silo,58
item,58
_module,58
_nftcontractaddress,58
_adapterparams,58
assetaddress,58
maxamount,58
sourcetoken,58
yieldtoken,58
_safe,58
_troveid,58
stake,58
itemids,58
_realmid,57
balance,57
src,57
_avatar,57
dst,57
_entity,57
decimals_,57
_gauges,57
lender,57
poolid_,57
j,57
operation,57
_starttimestamp,56
rewards,56
_point,56
_bool,56
acceptablefixedinterestrate,56
length,56
_raffleid,56
assetamount,56
_withupdate,56
_block,56
tokenids_,56
nodeid,56
srctoken,55
routes,55
_delegate,55
slot,55
mintid,55
_pricedata,55
_buyfee,55
amountethmin,55
_domain,55
delegatee,55
keeper,55
walletaddress,55
_baseuri,54
newimplementation,54
number,54
pooltoken,54
route,54
claimer,54
tochainid,54
_idx,54
buytoken,54
_sellfee,54
_newprice,54
creatorcontractaddress,54
tid,54
actions,54
markets,54
deployer,54
side,54
_dao,53
poolindex,53
day,53
_nfts,53
_amt,53
margin,53
strategies,53
_cdpid,53
desttoken,53
epochid,53
repayamount,53
_whitelist,53
_startdate,52
taker,52
multiplier,52
id_,52
_orderindex,52
newamount,52
slot_,52
taxfee,52
minout,52
_ordertype,52
member,52
feerecipient,52
_marketing,52
_ctype,52
tokenaddresses,51
_inputtoken,51
nfttokenid,51
groupid,51
_rewarder,51
_ccy,51
treasury,51
buy,51
asset_,51
true_or_false,51
proofs,51
_position,51
quantities,51
transactionid,50
debt,50
collectionid,50
_srcchainid,50
inputs,50
_code,50
ctx,50
_paymentamount,50
_executionfee,50
fid,50
collateraltype,50
marketindex,50
option,50
sweeptokens,50
issuer,50
_rarity,50
_level,50
_subaccountid,50
_label,49
data_,49
_outcome,49
date,49
_productid,49
_expiration,49
tokensymbol,49
_proxy,49
toaddress,49
_newvalue,49
termrepoid,49
heroid,49
sellamount,49
swapid,49
_registry,49
_burnfee,48
add,48
dstchainid,48
_collectionid,48
_request,48
_batchid,48
bid,48
params_,48
_tokenname,48
_agent,48
payer,48
_stake,48
_payload,48
vaultaddresses,47
dest,47
amount1min,47
quotetoken,47
cdp,47
_provider,47
amount0min,47
subscriber,47
keys,47
output,47
nftasset,47
proof_,47
tokenaddr,47
_stakeid,47
maxprice,47
_subaccount,47
callbackdata,46
sell,46
tokenname,46
tranche,46
percentage,46
shares_,46
tournamentid,46
offer,46
farmid,46
ancillarydata,46
reserveid,46
_category,46
_itemid,46
_marketingfee,46
categoryid,45
_nftcontract,45
season,45
amountamin,45
appid,45
tokens_,45
rarity,45
fund,45
score,45
recipient_,45
mintamount,45
_issuer,45
permission,45
secret,45
_platform,45
contractaddr,45
hook,45
leaf,45
updatedata,45
marketingfee,44
_maxamount,44
campaign,44
product,44
direction,44
_cid,44
_pricefeed,44
_pids,44
_auctionid,44
_feerecipient,44
_tokensymbol,44
pairid,44
taskid,44
_of,44
_claimid,44
_startblock,44
_guardian,44
userid,44
instanceid,43
_marketindex,43
tierid,43
instrument,43
app,43
planid,43
_amm,43
_editionnumber,43
_minreturn,43
_weight,43
share,43
schainname,43
from_,43
details,43
collection_,43
_erc20,43
questionid,43
amountbmin,43
_trade,43
isenabled,43
_dsteid,43
_pooltoken,43
_basetoken,43
_lockid,43
claims,43
_contractname,43
sqrtpricelimitx96,43
support,42
safe,42
_phase,42
_origin,42
_min,42
addy,42
_distributor,42
validator,42
amm,42
_delegator,42
_approved,42
_x,42
_referralcode,42
initialowner,42
pagesize,41
_pairid,41
_collateralamount,41
min,41
_set,41
totalsupply,41
datas,41
bidder,41
validafter,41
_nodeid,41
_seconds,41
ptoken,41
_lender,41
_implementation,41
_mode,41
txid,41
gas,41
withdrawamount,41
sharessubject,41
_feetoken,41
tag,41
items,41
conditionid,41
claimid,41
_saleid,40
_amountoutmin,40
agent,40
swap,40
_receivers,40
_tournamentid,40
weights,40
newrate,40
parameters,40
raffleid,40
requester,40
cap,40
_tokenaddresses,40
_balance,40
weight,40
_proofs,40
marketparams,40
redeemer,40
_amountsettoken,40
_validator,40
distributor,40
_handler,40
partya,40
desc,40
_quantities,40
_lpaddress,40
poolkey,40
isallowed,40
sigs,40
_permitdata,40
_c,40
_cost,40
fee_,40
selltoken,40
metadatauri,39
feebps,39
locktime,39
_positionmanager,39
_paused,39
_collateraltype,39
_taskid,39
_isenabled,39
termid,39
lptokens,39
comment,39
delta,39
_entityaddress,39
_week,39
underlyingtoken,39
minbuyamount,39
deposit,39
_param,39
zeroforone,39
_property,39
_totalamount,39
_disputeid,39
outbound_tkn,38
_bidid,38
stakeid,38
_lpamount,38
_route,38
_rewardstoken,38
paused,38
holders,38
maxamountin,38
tamount,38
_priceupdatedata,38
wrappedtoken,38
onbehalf,38
marketid_,38
minprice,38
_names,38
creditor,38
newuri,38
_attribute,38
vars,38
balances,38
protocol,38
_governance,38
targetcontract,38
swapfee,38
_depositamount,38
operators,38
tickspacing,38
minter_,38
_outputtoken,38
_endindex,38
pos,38
minreturnamount,38
tos,37
destinationchain,37
subjecttype,37
_option,37
_comptrollerproxy,37
dropid,37
_clanid,37
_underlyingasset,37
callback,37
_interval,37
tochain,37
_owneraddress,37
newname,37
_loan,37
_settings,37
f,37
starttime_,37
requests,37
_open,37
deposittoken,37
_endtimestamp,37
pooltype,37
volume,37
_walletaddress,37
_weights,37
_targets,37
what,37
collectionaddress,37
tokenindex,37
kind,37
operatorid,37
_selector,37
cityid,36
k,36
buyamount,36
author,36
_transferfee,36
divisor,36
riskindicatorsinputs,36
_bridge,36
options,36
_stakeraddress,36
settings,36
startidx,36
_tierid,36
long,36
_number,36
relayer,36
sizedelta,36
vtoken,36
_t,36
supertoken,36
group,36
_feepercent,36
_maxfeepercentage,36
extension,36
_group,35
_epochid,35
creditaccount,35
_deposit,35
msgsender,35
verifier,35
uri_,35
_vaulttoken,35
_discount,35
category,35
assettype,35
_pooltokenaddress,35
starttimestamp,35
allowance,35
dx,35
roleid,35
_plotid,35
quoteid,35
ctokens,35
_y,35
_collateraldelta,35
calldatas,35
_rewardperblock,35
url,34
starkkey,34
term,34
initiator,34
indexes,34
aficontract,34
_memo,34
_qty,34
quorumnumber,34
context,34
_nftindex,34
_delay,34
_liquidator,34
_deployer,34
month,34
batchid,34
exchangeid,34
denominator,34
_vaults,34
allow,34
_hatid,34
_refer,34
_team,34
coverid,34
publickey,34
olkey,34
usdcamount,34
_collateraladdress,34
_categoryid,34
batch,34
_staking,34
_dev,34
_adapter,34
inbound_tkn,34
_sigs,34
plan,34
newthreshold,34
_initialowner,33
_editionsize,33
_voteid,33
newratio,33
baseuri_,33
lpamount,33
_endblock,33
curr,33
_validatorid,33
_base,33
amountoutminimum,33
_offerid,33
playerid,33
numerator,33
_length,33
stakeamount,33
lock,33
_paytoken,33
_protocolfee,33
bundleid,33
merchant,33
ticketid,33
lptoken,33
_strategies,33
_borrowamount,33
guildid,33
_debt,33
_fromtoken,33
_teamid,33
domainhash,33
newrecipient,33
batchsize,33
expirationtime,33
stage,33
txhash,33
useraddr,33
_b,32
sharesamount,32
_staketoken,32
_tokentype,32
_newamount,32
scid,32
subaccountid,32
_rewardtokens,32
endtimestamp,32
eid,32
vs,32
core,32
_claim,32
names,32
_share,32
_nfttokenid,32
_startindex,32
_keyhash,32
stakeindex,32
_hook,32
swaptarget,32
endtime_,32
candidate,32
disabled,32
_action,32
_pairs,32
_lock,32
tokenowner,32
fytoken,32
pairs,32
parentid,32
sourceamount,32
pool_,31
_options,31
_compound,31
_dstpoolid,31
_maxprice,31
miner,31
swapcalldata,31
collateralasset,31
identity,31
_tradeid,31
swapfeepercentage,31
_groupid,31
poolhash,31
week,31
refundaddress,31
_useraddr,31
tokenx,31
_swaprouter,31
isexcluded,31
hero,31
_total,31
tokeny,31
_denominator,31
_contributor,31
nft_,31
frommode,31
cursor,31
